StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1812/01/19,,Wellington captures Ciudad Rodrigo,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/04/06,,Wellington captures Badajoz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/06/20,,Sixth Coalition formed,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/06/24,,Napoleon invades Russia,Napoleon begins preparations to invade Russia,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/07/22,,Battle of Salamanca,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/08/17,1812/08/19,Battle of Smolensk,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/09/07,,Battle of Borodino,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/09/14,1812/10/19,Napoleon in Moscow,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/10/21,,Wellington repulsed at Burgos,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/10/24,1812/10/25,Battle of Maloyaroslavets,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/11/26,81812/11/28,Battle of Beresina,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1812/12/30,,Yorck signs Convention of Tauroggen,,Prussian Corps defeats from the French Grande Armee,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/03/04,,Russians enter Berlin,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/03/16,,Prussia declares war on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/05/02,,Battle of Lutzen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/05/20,1813/05/21,Battle of Bautzen,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/05/23,,Wellington advances into Spain,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/06/04,1813/08/17,Armistice of Pleichwitz,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/06/12,,French evacuate Madrid,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/06/21,,Battle of Vitoria,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/08/12,,Austria declares War on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/08/23,,Battle of Grossbeeren,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1813/08/26,,Battle of Katzbach,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
